XCoord,YCoord,FID,CB2010,BOROCODE,BORONAME,CT2010,BCTCB2010,SHAPE_LENG,SHAPE_AREA,GEOID
-73.89176249,40.68340956,9372,1001,3,Brooklyn,114202,31142021001,1302.916712,104513.639596,360471142021001
-73.89090524,40.68057026,9373,1001,3,Brooklyn,114600,31146001001,1444.562297,117061.265469,360471146001001
-73.88591824,40.67533622,9374,1001,3,Brooklyn,115000,31150001001,1380.985334,105901.466098,360471150001001
-73.89035082,40.67467933,9375,1001,3,Brooklyn,115200,31152001001,1429.880148,117161.117656,360471152001001
-73.89453212,40.66868381,9376,1001,3,Brooklyn,115600,31156001001,1701.141936,159789.080376,360471156001001
-73.89209793,40.67049380,9377,1001,3,Brooklyn,115800,31158001001,1446.851173,120092.060381,360471158001001
-73.88848417,40.67102953,9378,1001,3,Brooklyn,116000,31160001001,1441.927089,118935.129320,360471160001001
-73.88495094,40.67155443,9379,1001,3,Brooklyn,116200,31162001001,1391.494541,107114.217481,360471162001001
-73.88078516,40.67216937,9380,1001,3,Brooklyn,116400,31164001001,1440.529488,118587.449822,360471164001001
-73.88172594,40.67595491,9381,1001,3,Brooklyn,116600,31166001001,1430.646394,117404.283581,360471166001001
-73.88252925,40.68090290,9382,1001,3,Brooklyn,116800,31168001001,900.099578,48641.643497,360471168001001
-73.88576221,40.67862301,9383,1001,3,Brooklyn,117000,31170001001,1881.334931,173562.298056,360471170001001
-73.88767427,40.68259316,9384,1001,3,Brooklyn,117201,31172011001,802.088861,34931.674590,360471172011001
-73.88324635,40.68393215,9385,1001,3,Brooklyn,117202,31172021001,1802.811173,164406.947313,360471172021001
-73.88065144,40.68561055,9386,1001,3,Brooklyn,117400,31174001001,1308.970292,103214.622356,360471174001001
